breed,heritage,price,,,,with outlier,w/o outlier
1,0,1000,,,,-0.190755192,-0.171835427
9,0,795,,,,-0.412499074,-0.49354872
19,0,1250,,,,0.079664177,0.220497857
8,0,2500,,,,1.431761021,2.18216428
12,0,900,,,,-0.298922939,-0.328768741
2,0,250,,,,-1.002013298,-1.348835281
18,0,1300,,,,0.133748051,0.298964514
18,1,1200,,,,0.025580303,0.1420312
18,0,950,,,,-0.244839066,-0.250302084
9,0,950,,,,-0.244839066,-0.250302084
5,0,800,,,,-0.407090687,-0.485702055
10,1,1600,,,,0.458251293,0.769764456
6,0,800,,,,-0.407090687,-0.485702055
7,0,450,,,,-0.785677803,-1.034968653
19,0,800,,,,-0.407090687,-0.485702055
20,0,600,,,,-0.623426182,-0.799568682
15,1,2200,,,,1.107257778,1.711364339
6,0,650,,,,-0.569342308,-0.721102025
1,0,2000,,,,0.890922283,1.397497711
14,0,2000,,,,0.890922283,1.397497711
13,0,150,,,,-1.110181046,-1.505768595
13,0,700,,,,-0.515258434,-0.642635369
16,0,700,,,,-0.515258434,-0.642635369
18,0,850,,,,-0.353006813,-0.407235398
17,0,500,,,,-0.731593929,-0.956501996
1,0,900,,,,-0.298922939,-0.328768741
17,0,300,,,,-0.947929424,-1.270368624
8,0,2000,,,,0.890922283,1.397497711
11,0,1500,,,,0.350083546,0.612831142
12,0,1200,,,,0.025580303,0.1420312
15,0,1500,,,,0.350083546,0.612831142
8,1,1800,,,,0.674586788,1.083631083
5,0,500,,,,-0.731593929,-0.956501996
1,0,1000,,,,-0.190755192,-0.171835427
5,0,700,,,,-0.515258434,-0.642635369
10,0,1500,,,,0.350083546,0.612831142
14,0,1800,,,,0.674586788,1.083631083
15,0,500,,,,-0.731593929,-0.956501996
20,0,450,,,,-0.785677803,-1.034968653
20,0,2000,,,,0.890922283,1.397497711
8,1,1600,,,,0.458251293,0.769764456
13,1,800,,,,-0.407090687,-0.485702055
2,1,500,,,,-0.731593929,-0.956501996
11,1,1200,,,,0.025580303,0.1420312
4,1,1400,,,,0.241915798,0.455897828
11,0,1200,,,,0.025580303,0.1420312
8,0,2750,,,,1.702180389,2.574497565
18,0,600,,,,-0.623426182,-0.799568682
10,0,975,,,,-0.217797129,-0.211068756
14,0,1000,,,,-0.190755192,-0.171835427
5,0,1200,,,,0.025580303,0.1420312
15,0,500,,,,-0.731593929,-0.956501996
8,0,2000,,,,0.890922283,1.397497711
3,1,1350,,,,0.187831924,0.377431171
9,1,2000,,,,0.890922283,1.397497711
7,0,500,,,,-0.731593929,-0.956501996
11,0,1200,,,,0.025580303,0.1420312
3,0,1400,,,,0.241915798,0.455897828
1,0,700,,,,-0.515258434,-0.642635369
6,0,1500,,,,0.350083546,0.612831142
11,0,700,,,,-0.515258434,-0.642635369
12,0,800,,,,-0.407090687,-0.485702055
2,0,1500,,,,0.350083546,0.612831142
10,0,600,,,,-0.623426182,-0.799568682
11,0,500,,,,-0.731593929,-0.956501996
8,1,1500,,,,0.350083546,0.612831142
18,0,1200,,,,0.025580303,0.1420312
8,0,2100,,,,0.999090031,1.554431025
7,0,750,,,,-0.461174561,-0.564168712
18,1,1900,,,,0.782754536,1.240564397
7,0,600,,,,-0.623426182,-0.799568682
11,0,2000,,,,0.890922283,1.397497711
2,0,250,,,,-1.002013298,-1.348835281
17,0,700,,,,-0.515258434,-0.642635369
9,1,1000,,,,-0.190755192,-0.171835427
3,0,995,,,,-0.196163579,-0.179682093
2,0,380,,,,-0.861395226,-1.144821973
