page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Boxer,Female,10-04-2017 (6 Weeks),Yes,Yes,$480 USD (shipping included!) Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Male,10-02-2017 (6 Weeks),No,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree"
Boxer,Male,10-13-2017 (4 Weeks),Yes,Yes,$1250 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Male,07-10-2017 (4 Months),No,No,$750 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Male,10-28-2017 (19 Days),No,No,$850 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Male,10-07-2017 (5 Weeks),No,No,$500 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health guarantee"
Boxer,Female,11-10-2017 (6 Days),No,No,$750 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Boxer,Male,09-19-2017 (8 Weeks),No,No,$875 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health guarantee"
Boxer,Male,10-28-2017 (19 Days),No,No,$850 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Male,09-05-2017 (10 Weeks),No,No,$950 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Female,09-14-2017 (9 Weeks),No,No,$500 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination"
Boxer,Male,05-21-2017 (5 Months),Yes,No,$1600 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Boxer,Female,10-02-2017 (6 Weeks),No,No,$950 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Male,11-06-2017 (10 Days),No,No,$700 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Boxer,Female,08-14-2017 (13 Weeks),No,No,$600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Female,08-30-2017 (11 Weeks),No,No,$400 USD Buyer tips,Select Areas,
Boxer,Female,10-11-2017 (5 Weeks),No,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Female,08-30-2017 (11 Weeks),Yes,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Male,09-24-2017 (7 Weeks),Yes,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Boxer,Male,05-13-2017 (6 Months),No,No,$400 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Health guarantee"
Boxer,Male,08-23-2017 (12 Weeks),No,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Female,08-21-2017 (12 Weeks),Yes,Yes,$1750 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health certificate, Health guarantee, Pedigree"
Boxer,Male,10-08-2017 (5 Weeks),Yes,Yes,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Female,09-16-2017 (8 Weeks),No,No,$700 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Female,08-11-2017 (13 Weeks),No,No,$850 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Boxer,Female,10-05-2017 (6 Weeks),No,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Boxer,Female,09-22-2017 (7 Weeks),Yes,No,$2200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Male,08-06-2017 (14 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Male,11-01-2017 (15 Days),No,No,$850 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Female,04-10-2016 (19 Months),No,No,$500 USD Buyer tips,Worldwide,"Registered/registerable, Veterinarian examination"
Boxer,Male,10-16-2017 (4 Weeks),Yes,No,$675 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Boxer,Female,04-30-2017 (6 Months),Yes,Yes,$1250 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Boxer,Female,08-25-2017 (11 Weeks),Yes,No,$975 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Boxer,Male,06-17-2017 (4 Months),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations"
Boxer,Male,09-27-2017 (7 Weeks),Yes,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Boxer,Female,09-19-2017 (8 Weeks),No,No,$750 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Boxer,Male,06-26-2017 (4 Months),No,No,$850 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Boxer,Male,10-03-2017 (6 Weeks),No,No,$850 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Boxer,Male,10-21-2017 (3 Weeks),No,No,$800 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination"
Boxer,Female,09-04-2017 (10 Weeks),No,No,$375 USD Buyer tips,Not available,
Boxer,Male,05-13-2017 (6 Months),No,No,$400 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Health guarantee"
Boxer,Female,10-12-2017 (5 Weeks),No,Yes,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Female,10-02-2017 (6 Weeks),No,No,$950 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Male,10-08-2017 (5 Weeks),Yes,Yes,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Female,10-05-2017 (6 Weeks),Yes,No,$650 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Boxer,Female,08-18-2017 (12 Weeks),Yes,No,$900 USD Buyer tips,Worldwide,Registered/registerable
Boxer,Male,06-15-2011 (6 Years),No,No,$400 USD Buyer tips,Worldwide,Registered/registerable
Boxer,Female,08-14-2017 (13 Weeks),No,No,$600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Female,10-02-2017 (6 Weeks),No,No,$750 USD Buyer tips,Select Areas,"Current vaccinations, Veterinarian examination"
Boxer,Male,06-02-2014 (3 Years),No,No,$75 USD Buyer tips,Not available,
Boxer,Male,08-19-2017 (12 Weeks),No,No,$490 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
