page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Bernese Mountain Dog,Male,10-12-2017 (5 Weeks),Yes,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Bernese Mountain Dog,Female,09-04-2017 (10 Weeks),Yes,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Bernese Mountain Dog,Female,10-13-2017 (4 Weeks),No,No,$995 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,09-29-2017 (6 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Bernese Mountain Dog,Female,09-03-2017 (10 Weeks),No,No,$2000 USD Buyer tips,Not available,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Bernese Mountain Dog,Female,10-13-2017 (4 Weeks),No,No,$1000 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Bernese Mountain Dog,Female,10-09-2014 (3 Years),Yes,No,$400 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Bernese Mountain Dog,Female,09-25-2017 (7 Weeks),Yes,No,$1800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Bernese Mountain Dog,Female,10-17-2017 (4 Weeks),Yes,Yes,$1800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Bernese Mountain Dog,Female,08-15-2017 (13 Weeks),No,No,$699 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Bernese Mountain Dog,Male,09-06-2017 (10 Weeks),No,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Travel crate"
Bernese Mountain Dog,Female,11-12-2017 (4 Days),No,No,$2000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,12-07-2016 (11 Months),No,No,$2000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Bernese Mountain Dog,Male,10-17-2017 (4 Weeks),Yes,No,$1400 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,10-05-2017 (6 Weeks),No,No,$1688 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Bernese Mountain Dog,Male,08-18-2017 (12 Weeks),Yes,No,$850 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,08-18-2017 (12 Weeks),Yes,Yes,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Bernese Mountain Dog,Female,09-15-2017 (8 Weeks),No,No,$2500 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
