page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Great Dane,Female,09-20-2017 (8 Weeks),No,No,$750 USD Buyer tips,United States,"Registered/registerable, Current vaccinations"
Great Dane,Male,07-31-2017 (15 Weeks),Yes,No,$650 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Great Dane,Male,10-24-2017 (3 Weeks),No,No,$1200 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree"
Great Dane,Male,10-30-2017 (17 Days),No,No,$1500 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Male,07-19-2017 (17 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Male,06-24-2017 (4 Months),No,No,$500 USD Buyer tips,Not available,Current vaccinations
Great Dane,Female,10-08-2017 (5 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Great Dane,Male,08-26-2017 (11 Weeks),No,No,$500 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Great Dane,Male,08-16-2017 (13 Weeks),No,No,$750 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Great Dane,Male,06-17-2017 (4 Months),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Female,11-06-2017 (10 Days),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Great Dane,Female,09-22-2017 (7 Weeks),Yes,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Great Dane,Male,09-09-2017 (9 Weeks),Yes,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Great Dane,Female,08-01-2017 (15 Weeks),Yes,No,$500 USD Buyer tips,Worldwide,Current vaccinations
Great Dane,Male,10-03-2017 (6 Weeks),Yes,Yes,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Male,05-17-2017 (6 Months),Yes,No,$2500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Male,08-03-2017 (15 Weeks),Yes,No,$400 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Male,10-23-2017 (3 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Female,09-10-2017 (9 Weeks),No,No,$600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Great Dane,Male,10-10-2017 (5 Weeks),No,No,$600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Great Dane,Male,09-14-2017 (9 Weeks),No,No,$600 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Great Dane,Male,10-02-2017 (6 Weeks),Yes,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Female,10-24-2017 (3 Weeks),No,No,$1100 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Male,10-07-2017 (5 Weeks),Yes,No,$2800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Great Dane,Female,10-02-2017 (6 Weeks),No,No,$800 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health certificate"
Great Dane,Female,07-11-2017 (4 Months),No,No,$100 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Great Dane,Male,08-30-2017 (11 Weeks),Yes,No,$1800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Great Dane,Male,08-13-2016 (15 Months),Yes,No,$1000 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Great Dane,Female,10-02-2017 (6 Weeks),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Female,09-29-2017 (6 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Great Dane,Female,06-21-2017 (4 Months),Yes,No,$700 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Great Dane,Male,09-22-2017 (7 Weeks),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Male,10-02-2017 (6 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree, Travel crate"
Great Dane,Female,07-25-2017 (16 Weeks),No,No,$1100 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Great Dane,Male,10-22-2018 (Unborn),No,No,$1300 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
